Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
116,NORESM TOA Outgoing Clear-Sky Longwave Radiation,NCC,NORESM,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,NCC_NORESM,199412,200511
117,NORESM TOA Outgoing Clear-Sky Shortwave Radiation,NCC,NORESM,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,NCC_NORESM,199412,200511
118,NORESM Air Temperature,NCC,NORESM,Air Temperature,ta,K,3D,Air Temperature,NCC_NORESM,199412,200511
119,NORESM Specific Humidity,NCC,NORESM,Specific Humidity,hus,1,3D,Specific Humidity,NCC_NORESM,199412,200511
120,NORESM Cloud Ice Water Content,NCC,NORESM,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,NCC_NORESM,194912,200511
121,NORESM Cloud Liquid Water Content,NCC,NORESM,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,NCC_NORESM,194912,200511
122,NORESM Vertical Wind Velocity,NCC,NORESM,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,NCC_NORESM,194912,200511
123,NORESM Relative Humidity,NCC,NORESM,Relative Humidity,hur,%,3D,Relative Humidity,NCC_NORESM,194912,200511
124,HadGEM2-ES Precipitation Flux,UKMO,HadGEM2-ES,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,UKMO_HadGEM2-ES,199412,200510
125,HadGEM2-ES Total Cloud Fraction,UKMO,HadGEM2-ES,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,UKMO_HadGEM2-ES,199412,200510
126,HadGEM2-ES Surface Temperature,UKMO,HadGEM2-ES,Surface Temperature,ts,K,2D,Surface Temperature,UKMO_HadGEM2-ES,199412,200510
127,HadGEM2-ES Sea Surface Temperature,UKMO,HadGEM2-ES,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,UKMO_HadGEM2-ES,199412,200511
128,HadGEM2-ES Eastward Near-Surface Wind,UKMO,HadGEM2-ES,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,UKMO_HadGEM2-ES,199412,200510
129,HadGEM2-ES Northward Near-Surface Wind,UKMO,HadGEM2-ES,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,UKMO_HadGEM2-ES,199412,200510
130,HadGEM2-ES Near-Surface Wind Speed,UKMO,HadGEM2-ES,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,UKMO_HadGEM2-ES,199412,200510
131,HadGEM2-ES Sea Surface Height,UKMO,HadGEM2-ES,Sea Surface Height,zos,m,2D,Sea Surface Height,UKMO_HadGEM2-ES,195911,200511
132,HadGEM2-ES Leaf Area Index,UKMO,HadGEM2-ES,Leaf Area Index,lai,1,2D,Leaf Area Index,UKMO_HadGEM2-ES,199412,200510
133,HadGEM2-ES Surface Downwelling Longwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
134,HadGEM2-ES Surface Downwelling Shortwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
135,HadGEM2-ES Surface Upwelling Longwave Radiation,UKMO,HadGEM2-ES,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
136,HadGEM2-ES Surface Upwelling Shortwave Radiation,UKMO,HadGEM2-ES,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
137,HadGEM2-ES Surface Downwelling Clear-Sky Longwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
138,HadGEM2-ES Surface Downwelling Clear-Sky Shortwave Radiation,UKMO,HadGEM2-ES,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
139,HadGEM2-ES Surface Upwelling Clear-Sky Shortwave Radiation,UKMO,HadGEM2-ES,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
140,HadGEM2-ES TOA Incident Shortwave Radiation,UKMO,HadGEM2-ES,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
141,HadGEM2-ES TOA Outgoing Longwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
142,HadGEM2-ES TOA Outgoing Shortwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
143,HadGEM2-ES TOA Outgoing Clear-Sky Longwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,UKMO_HadGEM2-ES,199412,200510
144,HadGEM2-ES TOA Outgoing Clear-Sky Shortwave Radiation,UKMO,HadGEM2-ES,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,UKMO_HadGEM2-ES,199412,200510
145,HadGEM2-ES Air Temperature,UKMO,HadGEM2-ES,Air Temperature,ta,K,3D,Air Temperature,UKMO_HadGEM2-ES,199412,200510
146,HadGEM2-ES Specific Humidity,UKMO,HadGEM2-ES,Specific Humidity,hus,1,3D,Specific Humidity,UKMO_HadGEM2-ES,199412,200510
147,HadGEM2-ES Cloud Ice Water Content,UKMO,HadGEM2-ES,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,UKMO_HadGEM2-ES,198411,200510
148,HadGEM2-ES Cloud Liquid Water Content,UKMO,HadGEM2-ES,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,UKMO_HadGEM2-ES,198411,200510
149,HadGEM2-ES Vertical Wind Velocity,UKMO,HadGEM2-ES,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,UKMO_HadGEM2-ES,198411,200510
150,HadGEM2-ES Relative Humidity,UKMO,HadGEM2-ES,Relative Humidity,hur,%,3D,Relative Humidity,UKMO_HadGEM2-ES,198411,200510
151,CANAM4 Precipitation Flux,CCCMA,CANAM4,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,CCCMA_CANAM4,199412,200911
152,CANAM4 Total Cloud Fraction,CCCMA,CANAM4,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,CCCMA_CANAM4,199412,200911
153,CANAM4 Surface Temperature,CCCMA,CANAM4,Surface Temperature,ts,K,2D,Surface Temperature,CCCMA_CANAM4,194912,200911
154,CANAM4 Near-Surface Air Temperature,CCCMA,CANAM4,Near-Surface Air Temperature,tas,K,2D,Near-Surface Air Temperature,CCCMA_CANAM4,194912,200911
155,CANAM4 Near-Surface Relative Humidity,CCCMA,CANAM4,Near-Surface Relative Humidity,hurs,%,2D,Near-Surface Relative Humidity,CCCMA_CANAM4,194912,200911
156,CANAM4 Eastward Near-Surface Wind,CCCMA,CANAM4,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,CCCMA_CANAM4,199412,200911
157,CANAM4 Northward Near-Surface Wind,CCCMA,CANAM4,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,CCCMA_CANAM4,199412,200911
158,CANAM4 Near-Surface Wind Speed,CCCMA,CANAM4,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,CCCMA_CANAM4,199412,200911
159,CANAM4 Surface Downwelling Longwave Radiation,CCCMA,CANAM4,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,CCCMA_CANAM4,199412,200911
160,CANAM4 Surface Downwelling Shortwave Radiation,CCCMA,CANAM4,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,CCCMA_CANAM4,199412,200911
161,CANAM4 Surface Upwelling Longwave Radiation,CCCMA,CANAM4,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,CCCMA_CANAM4,199412,200911
162,CANAM4 Surface Upwelling Shortwave Radiation,CCCMA,CANAM4,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,CCCMA_CANAM4,199412,200911
163,CANAM4 Surface Downwelling Clear-Sky Longwave Radiation,CCCMA,CANAM4,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,CCCMA_CANAM4,199412,200911
164,CANAM4 Surface Downwelling Clear-Sky Shortwave Radiation,CCCMA,CANAM4,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,CCCMA_CANAM4,199412,200911
165,CANAM4 Surface Upwelling Clear-Sky Shortwave Radiation,CCCMA,CANAM4,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,CCCMA_CANAM4,199412,200911
166,CANAM4 TOA Incident Shortwave Radiation,CCCMA,CANAM4,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,CCCMA_CANAM4,199412,200911
167,CANAM4 TOA Outgoing Longwave Radiation,CCCMA,CANAM4,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,CCCMA_CANAM4,199412,200911
168,CANAM4 TOA Outgoing Shortwave Radiation,CCCMA,CANAM4,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,CCCMA_CANAM4,199412,200911
169,CANAM4 TOA Outgoing Clear-Sky Longwave Radiation,CCCMA,CANAM4,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,CCCMA_CANAM4,199412,200911
170,CANAM4 TOA Outgoing Clear-Sky Shortwave Radiation,CCCMA,CANAM4,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,CCCMA_CANAM4,199412,200911
171,CANAM4 Air Temperature,CCCMA,CANAM4,Air Temperature,ta,K,3D,Air Temperature,CCCMA_CANAM4,199412,200911
172,CANAM4 Specific Humidity,CCCMA,CANAM4,Specific Humidity,hus,1,3D,Specific Humidity,CCCMA_CANAM4,199412,200911
173,CANAM4 Cloud Ice Water Content,CCCMA,CANAM4,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,CCCMA_CANAM4,194912,200911
174,CANAM4 Cloud Liquid Water Content,CCCMA,CANAM4,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,CCCMA_CANAM4,194912,200911
175,CANAM4 Vertical Wind Velocity,CCCMA,CANAM4,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,CCCMA_CANAM4,194912,200911
176,CANAM4 Relative Humidity,CCCMA,CANAM4,Relative Humidity,hur,%,3D,Relative Humidity,CCCMA_CANAM4,194912,200911
177,MK3.6 Precipitation Flux,CSIRO,MK3.6,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,CSIRO_MK3.6,199412,200911
178,MK3.6 Total Cloud Fraction,CSIRO,MK3.6,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,CSIRO_MK3.6,199412,200911
179,MK3.6 Surface Temperature,CSIRO,MK3.6,Surface Temperature,ts,K,2D,Surface Temperature,CSIRO_MK3.6,199412,200911
180,MK3.6 Eastward Near-Surface Wind,CSIRO,MK3.6,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,CSIRO_MK3.6,199412,200911
181,MK3.6 Northward Near-Surface Wind,CSIRO,MK3.6,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,CSIRO_MK3.6,199412,200911
182,MK3.6 Near-Surface Wind Speed,CSIRO,MK3.6,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,CSIRO_MK3.6,199412,200911
183,MK3.6 Surface Downwelling Longwave Radiation,CSIRO,MK3.6,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,CSIRO_MK3.6,199412,200911
184,MK3.6 Surface Downwelling Shortwave Radiation,CSIRO,MK3.6,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,CSIRO_MK3.6,199412,200911
185,MK3.6 Surface Upwelling Longwave Radiation,CSIRO,MK3.6,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,CSIRO_MK3.6,199412,200911
186,MK3.6 Surface Upwelling Shortwave Radiation,CSIRO,MK3.6,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,CSIRO_MK3.6,199412,200911
187,MK3.6 Surface Downwelling Clear-Sky Longwave Radiation,CSIRO,MK3.6,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,CSIRO_MK3.6,199412,200911
188,MK3.6 Surface Downwelling Clear-Sky Shortwave Radiation,CSIRO,MK3.6,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,CSIRO_MK3.6,199412,200911
189,MK3.6 Surface Upwelling Clear-Sky Shortwave Radiation,CSIRO,MK3.6,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,CSIRO_MK3.6,199412,200911
190,MK3.6 TOA Incident Shortwave Radiation,CSIRO,MK3.6,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,CSIRO_MK3.6,199412,200911
191,MK3.6 TOA Outgoing Longwave Radiation,CSIRO,MK3.6,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,CSIRO_MK3.6,199412,200911
192,MK3.6 TOA Outgoing Shortwave Radiation,CSIRO,MK3.6,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,CSIRO_MK3.6,199412,200911
193,MK3.6 TOA Outgoing Clear-Sky Longwave Radiation,CSIRO,MK3.6,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,CSIRO_MK3.6,199412,200911
194,MK3.6 TOA Outgoing Clear-Sky Shortwave Radiation,CSIRO,MK3.6,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,CSIRO_MK3.6,199412,200911
195,MK3.6 Air Temperature,CSIRO,MK3.6,Air Temperature,ta,K,3D,Air Temperature,CSIRO_MK3.6,199412,200911
196,MK3.6 Specific Humidity,CSIRO,MK3.6,Specific Humidity,hus,1,3D,Specific Humidity,CSIRO_MK3.6,199412,200911
197,MK3.6 Cloud Ice Water Content,CSIRO,MK3.6,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,CSIRO_MK3.6,197912,200911
198,MK3.6 Cloud Liquid Water Content,CSIRO,MK3.6,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,CSIRO_MK3.6,199912,200911
199,MK3.6 Vertical Wind Velocity,CSIRO,MK3.6,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,CSIRO_MK3.6,199012,200511
200,MK3.6 Relative Humidity,CSIRO,MK3.6,Relative Humidity,hur,%,3D,Relative Humidity,CSIRO_MK3.6,199012,200511
201,CM3 Precipitation Flux,GFDL,CM3,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,GFDL_CM3,199412,200811
202,CM3 Total Cloud Fraction,GFDL,CM3,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,GFDL_CM3,199412,200811
203,CM3 Surface Temperature,GFDL,CM3,Surface Temperature,ts,K,2D,Surface Temperature,GFDL_CM3,199412,200811
204,CM3 Eastward Near-Surface Wind,GFDL,CM3,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,GFDL_CM3,199412,200811
205,CM3 Northward Near-Surface Wind,GFDL,CM3,Northward Near-Surface Wind,vas,m s-1,2D,Northward Near-Surface Wind,GFDL_CM3,199412,200811
206,CM3 Near-Surface Wind Speed,GFDL,CM3,Near-Surface Wind Speed,sfcWind,m s-1,2D,Near-Surface Wind Speed,GFDL_CM3,199412,200811
207,CM3 Surface Downwelling Longwave Radiation,GFDL,CM3,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,GFDL_CM3,199412,200811
208,CM3 Surface Downwelling Shortwave Radiation,GFDL,CM3,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,GFDL_CM3,199412,200811
209,CM3 Surface Upwelling Longwave Radiation,GFDL,CM3,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,GFDL_CM3,199412,200811
210,CM3 Surface Upwelling Shortwave Radiation,GFDL,CM3,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,GFDL_CM3,199412,200811
211,CM3 Surface Downwelling Clear-Sky Longwave Radiation,GFDL,CM3,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,GFDL_CM3,199412,200811
212,CM3 Surface Downwelling Clear-Sky Shortwave Radiation,GFDL,CM3,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,GFDL_CM3,199412,200811
213,CM3 Surface Upwelling Clear-Sky Shortwave Radiation,GFDL,CM3,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,GFDL_CM3,199412,200811
214,CM3 TOA Incident Shortwave Radiation,GFDL,CM3,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,GFDL_CM3,199412,200811
215,CM3 TOA Outgoing Longwave Radiation,GFDL,CM3,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,GFDL_CM3,199412,200811
216,CM3 TOA Outgoing Shortwave Radiation,GFDL,CM3,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,GFDL_CM3,199412,200811
217,CM3 TOA Outgoing Clear-Sky Longwave Radiation,GFDL,CM3,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,GFDL_CM3,199412,200811
218,CM3 TOA Outgoing Clear-Sky Shortwave Radiation,GFDL,CM3,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,GFDL_CM3,199412,200811
219,CM3 Air Temperature,GFDL,CM3,Air Temperature,ta,K,3D,Air Temperature,GFDL_CM3,198812,200811
220,CM3 Specific Humidity,GFDL,CM3,Specific Humidity,hus,1,3D,Specific Humidity,GFDL_CM3,198812,200811
221,CM3 Cloud Ice Water Content,GFDL,CM3,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,GFDL_CM3,197912,200811
222,CM3 Cloud Liquid Water Content,GFDL,CM3,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,GFDL_CM3,197912,200811
223,CM3 Vertical Wind Velocity,GFDL,CM3,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,GFDL_CM3,198812,200811
224,CM3 Relative Humidity,GFDL,CM3,Relative Humidity,hur,%,3D,Relative Humidity,GFDL_CM3,198812,200811
225,CM5A-LR Precipitation Flux,IPSL,CM5A-LR,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,IPSL_CM5A-LR,199412,200911
226,CM5A-LR Total Cloud Fraction,IPSL,CM5A-LR,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,IPSL_CM5A-LR,199412,200911
